../product_line_projects/
Arithmetic_Expression_Evaluator haskell cide 460
BankAccountv2 java featurehouse 95
BattleOfTanks java antenna 1975
Chat_HyperJ java hyperj 758
DesktopSearcher java ahead 3779
Elevator_C c featurehouse 877
Elevator_Java java featurehouse 1046
EmailSystem_C c featurehouse 258
EmailSystem_Java java featurehouse 1233
Email_JML java featurehouse 1233
FAME_DBMS cpp cide 5000
Graph_Product_Line java featurehouse 1350
Lampiro java cide 45000
MinePump_C c featurehouse 279
MinePump_Java java featurehouse 580
Mobile_Media java cide 5700
Mobile_RSS_Reader java cide 20000
NetBot cs featurehouse 1579
Prevayler java cide 80000
Prop4J java featurehouse 2051
Pynche python cide 2400
